date,outbound_docs,outbound_orders,outbound_qty,outbound_gross_kg,outbound_cbm,outbound_load_units,outbound_picks,outbound_full_picks,outbound_partial_picks,packing_lines,packing_orders,packing_pallets,packing_gross_kg,packing_net_kg,packing_volume_dm3,inbound_docs,inbound_avizo,inbound_articles,inbound_lines,inbound_qty,inbound_gross_kg,inbound_cbm,inbound_consumables_gross_kg,inbound_equipment_gross_kg,inbound_other_gross_kg,inbound_customs_gross_kg,inbound_unknown_gross_kg,handling_in_qty,handling_out_qty,wrapping_qty,putaway_qty,net_flow_gross_kg,net_flow_cbm
2022-03-16,667.0,667.0,68268.0,802110.59,949.675,1482.0,2572.0,881.0,1691.0,3040.0,688.0,1.0,1449217.96,0.0,2911391.0,140.0,140.0,328.0,1157.0,87926.0,712110.11,878.644,1268953.68,29376.32,0.0,0.0,125890.22,,,,,-90000.47999999998,-71.03099999999995
2022-03-17,581.0,581.0,63580.0,597598.46,735.109,1339.0,2262.0,855.0,1407.0,2268.0,570.0,1.0,742833.95,0.0,1643181.0,126.0,125.0,335.0,1054.0,32878.0,602095.61,687.773,1029031.4,27196.68,278.06,0.0,147688.38,,,,,4497.150000000023,-47.33600000000001
2022-03-18,791.0,791.0,92724.0,586354.09,713.628,1513.0,2883.0,785.0,2098.0,3228.0,834.0,1.0,995161.64,0.0,2555869.0,172.0,171.0,374.0,957.0,71494.0,395802.88,491.099,657702.4,33674.2,8.6,0.0,100225.95999999999,,,,,-190551.20999999996,-222.52900000000005
2022-03-19,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,65.0,245.0,7379.0,215800.83,283.711,395730.42,0.0,0.0,0.0,35871.24,,,,,215800.83,283.711
2022-03-20,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,102.0,766.0,22966.0,707047.9,908.1659999999999,1320971.1,0.0,0.0,0.0,93124.7,,,,,707047.9,908.1659999999999
2022-03-21,904.0,904.0,72190.0,1092088.9,1344.751,1997.0,3007.0,1187.0,1820.0,3036.0,859.0,1.0,1307000.12,0.0,2575508.25,108.0,107.0,315.0,989.0,38831.0,619110.01,819.011,1073483.04,3179.5,0.04,0.0,161570.76,,,,,-472978.8899999999,-525.74
2022-03-22,957.0,957.0,262287.0,1190530.58,1470.548,2202.0,3267.0,1370.0,1897.0,3391.0,935.0,1.0,1478437.86,0.0,2896604.0,96.0,95.0,280.0,1034.0,33707.0,613330.88,754.558,1039697.26,7964.12,0.0,0.0,179012.94,,,,,-577199.7000000001,-715.99
2022-03-23,682.0,682.0,69236.0,955446.36,1093.832,1724.0,2896.0,1125.0,1771.0,3158.0,701.0,1.0,1358721.84,0.0,2613025.0,111.0,111.0,324.0,1033.0,77669.0,640496.36,805.76,1138354.44,12601.42,0.04,0.0,130037.02,,,,,-314950.0,-288.0720000000001
2022-03-24,684.0,684.0,66189.0,739301.36,871.899,1466.0,2531.0,792.0,1739.0,2487.0,658.0,1.0,917557.7,0.0,1874499.0,140.0,140.0,294.0,708.0,136446.0,227798.57,232.836,368454.16,13914.92,67.78,0.0,73160.28,,,,,-511502.79,-639.063
2022-03-25,885.0,885.0,107057.0,1116335.34,1364.723,2097.0,3443.0,1339.0,2104.0,3562.0,912.0,1.0,1448410.89,0.0,3129069.0,115.0,115.0,366.0,1090.0,68982.0,642665.91,711.731,1150131.18,7359.68,0.0,0.0,127919.44,,,,,-473669.43000000005,-652.992
