date,iso_year,iso_week,iso_weekday,binhits,gross_tons,cartons_count,pallets_count,vydejky_unique,packed_day_binhits,packed_night_binhits,trips_total,containers_count,loaded_orders_nunique,loaded_gross_tons,inbound_gross_kg,inbound_docs,packing_orders,packing_pallets,att_headcount,att_kmen_headcount,att_agency_headcount,day_att_headcount,night_att_headcount,att_kmen_early_headcount,att_kmen_late_headcount,att_agency_day_headcount,att_agency_night_headcount,helper_paid_hours_total,helper_esab_share,helper_esab_paid_hours,helper_esab_fte_8h,manual_any_filled,selected_total_people,selected_kmen,selected_agency,selected_kmen_early,selected_kmen_late,selected_agency_day,selected_agency_night,weekday,paid_hours_total,esab_share,att_hours,esab_fte_8h,required_reference_fte_8h
2022-03-22,2022,12,2,3372,1304.82232,588,1759,0,2287.0,1085.0,74.0,4.0,958.0,1234.27945,613330.88,96.0,935.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-03-23,2022,12,3,3034,1301.28192,393,1851,0,2007.0,1027.0,79.0,7.0,683.0,946.41597,640496.36,111.0,701.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
2022-03-24,2022,12,4,2972,1161.26177,468,1642,0,1753.0,1219.0,65.0,8.0,669.0,727.0503,227798.57,140.0,658.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-03-25,2022,12,5,3201,1198.64016,490,1654,0,1964.0,1237.0,86.0,13.0,880.0,1130.17329,642665.91,115.0,912.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-03-26,2022,12,6,462,245.05911,41,377,0,0.0,462.0,,,,,380383.11,8.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
2022-03-27,2022,12,7,343,213.18111,17,297,0,0.0,343.0,,,,,403086.77,8.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Sunday,,0.7114913912827506,,,
2022-03-28,2022,13,1,3002,1535.11976,471,1694,0,1834.0,1168.0,73.0,5.0,865.0,1203.81549,330971.49,102.0,870.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
2022-03-29,2022,13,2,2773,1324.33933,414,1664,0,1813.0,960.0,72.0,7.0,837.0,1161.15035,1132211.17,92.0,794.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-03-30,2022,13,3,3022,1329.1491,435,1759,0,1962.0,1060.0,75.0,8.0,727.0,823.43224,623023.05,131.0,734.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
2022-03-31,2022,13,4,2557,1049.5338,437,1500,0,1647.0,910.0,73.0,9.0,665.0,857.18223,782934.11,108.0,656.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-04-01,2022,13,5,2271,814.52983,404,1219,0,1546.0,725.0,58.0,6.0,652.0,562.6684300000001,434543.98,85.0,668.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-04-02,2022,13,6,288,98.75117,2,208,0,0.0,288.0,,,,,98785.71,2.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
2022-04-04,2022,14,1,2146,1023.49686,401,1266,0,1535.0,611.0,64.0,9.0,625.0,1049.49051,660404.36,93.0,606.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
2022-04-05,2022,14,2,2803,977.33884,484,1579,0,1771.0,1032.0,57.0,3.0,708.0,653.08474,129116.26,89.0,706.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-04-06,2022,14,3,2457,779.22513,526,1247,0,1681.0,776.0,63.0,6.0,671.0,663.35038,590521.42,74.0,692.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
2022-04-07,2022,14,4,2364,714.96814,549,1043,0,1559.0,805.0,45.0,5.0,539.0,501.7514,933231.57,83.0,532.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-04-08,2022,14,5,2448,731.54727,539,1125,0,1682.0,766.0,71.0,7.0,728.0,679.03576,515472.07,113.0,721.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-04-09,2022,14,6,165,64.01001,14,145,0,0.0,165.0,,,,,250051.69,5.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
2022-04-11,2022,15,1,2222,1023.18256,350,1353,0,1615.0,607.0,48.0,3.0,696.0,656.77008,671282.38,72.0,702.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
2022-04-12,2022,15,2,2387,954.83751,446,1291,0,1705.0,682.0,54.0,1.0,632.0,698.47363,596965.46,94.0,629.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-04-13,2022,15,3,2507,933.18038,450,1447,0,1714.0,793.0,51.0,1.0,591.0,591.65015,387163.13,91.0,626.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
2022-04-14,2022,15,4,1693,702.55938,337,981,0,1056.0,637.0,57.0,7.0,456.0,569.43402,838670.55,121.0,448.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-04-15,2022,15,5,1661,667.21099,313,994,0,1101.0,560.0,20.0,0.0,238.0,272.67664,546137.12,12.0,332.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-04-16,2022,15,6,119,85.6798,1,115,0,0.0,119.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
2022-04-19,2022,16,2,2400,1187.08369,387,1542,0,1807.0,593.0,75.0,10.0,745.0,1110.50517,1029527.43,124.0,655.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-04-20,2022,16,3,2451,1042.37658,435,1466,0,1790.0,661.0,72.0,7.0,660.0,851.84552,190719.67,106.0,672.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
2022-04-21,2022,16,4,2288,916.29536,443,1293,0,1506.0,782.0,48.0,3.0,477.0,599.12074,570924.43,103.0,469.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-04-22,2022,16,5,2451,989.37609,404,1440,0,1516.0,935.0,78.0,8.0,799.0,978.2507,461948.62,112.0,787.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
